namePlayer,idPlayer,idPlayerNBA,namePlayerBREF,yearSeason,urlPlayerThumbnail,urlPlayerHeadshot,yearSeasonFirst,slugSeason,idPlayerSeason,idPosition,agePlayer,slugTeamBREF,countGames,isHOFPlayer,minutes,ratioPER,pctTrueShooting,pct3PRate,pctFTRate,pctORB,pctDRB,pctTRB,pctAST,pctSTL,pctBLK,pctTOV,pctUSG,ratioOWS,ratioDWS,ratioWS,ratioWSPer48,ratioOBPM,ratioDBPM,ratioBPM,ratioVORP
Aaron Gordon,gordoaa01,203932,Aaron Gordon,2018,https://stats.nba.com/media/players/230x185/203932.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203932.png,2014,2018-19,gordoaa01_2019,PF,23,ORL,67,FALSE,2252,15,0.533,0.333,0.252,0.051,0.187,0.11800000000000001,0.166,0.01,0.018000000000000002,0.12,0.223,1.3,2.8,4.1,0.088,-0.4,1.1,0.7,1.5
Aaron Holiday,holidaa01,1628988,Aaron Holiday,2018,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628988.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628988.png,2018,2018-19,holidaa01_2019,PG,22,IND,42,FALSE,473,11.7,0.495,0.485,0.17,0.01,0.11800000000000001,0.065,0.18100000000000002,0.017,0.023,0.11199999999999999,0.231,-0.1,0.7,0.5,0.053,-2.1,-0.8,-2.8,-0.1
Abdel Nader,naderab01,1627846,Abdel Nader,2018,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627846.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627846.png,2017,2018-19,naderab01_2019,SF,25,OKC,52,FALSE,609,9.2,0.541,0.445,0.187,0.018000000000000002,0.156,0.085,0.037000000000000005,0.013000000000000001,0.015,0.105,0.147,0.2,0.8,0.9,0.074,-4,-0.7,-4.7,-0.4
Al Horford,horfoal01,201143,Al Horford,2018,https://stats.nba.com/media/players/230x185/201143.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png,2007,2018-19,horfoal01_2019,C,32,BOS,61,FALSE,1755,19.6,0.597,0.299,0.12,0.066,0.183,0.124,0.207,0.015,0.040999999999999995,0.122,0.18600000000000003,3.7,2.7,6.4,0.175,1.9,2.9,4.8,3
Al-Farouq Aminu,aminual01,202329,Al-Farouq Aminu,2018,https://stats.nba.com/media/players/230x185/202329.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202329.png,2010,2018-19,aminual01_2019,PF,28,POR,70,FALSE,2011,13.1,0.576,0.487,0.29,0.054000000000000006,0.221,0.139,0.06,0.015,0.012,0.1,0.131,2.7,2.4,5.1,0.123,0.2,1,1.2,1.6
Alan Williams,willial03,1626210,Alan Williams,2018,https://stats.nba.com/media/players/230x185/1626210.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626210.png,2015,2018-19,willial03_2019,PF,26,BRK,4,FALSE,22,32.9,0.595,0.1,0.4,0.193,0.621,0.408,0.249,0.022000000000000002,0,0.078,0.245,0.1,0.1,0.1,0.325,3.6,3.7,7.3,0.1
Alec Burks,burksal01,202692,Alec Burks,2018,https://stats.nba.com/media/players/230x185/202692.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202692.png,2011,2018-19,burksal01_2019,SG,27,TOT,62,FALSE,1361,12.7,0.523,0.354,0.297,0.023,0.168,0.09300000000000001,0.139,0.013999999999999999,0.013000000000000001,0.10800000000000001,0.192,0.7,0.8,1.5,0.053,-1.5,-0.7,-2.2,-0.1
Alex Abrines,abrinal01,203518,Alex Abrines,2018,https://stats.nba.com/media/players/230x185/203518.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203518.png,2016,2018-19,abrinal01_2019,SG,25,OKC,31,FALSE,588,6.3,0.507,0.809,0.083,0.9,0.077,0.042,0.043,0.013000000000000001,0.8,0.079,0.122,0.1,0.6,0.7,0.054,-2.4,-0.9,-3.3,-0.2
Alex Caruso,carusal01,1627936,Alex Caruso,2018,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627936.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627936.png,2017,2018-19,carusal01_2019,PG,24,LAL,13,FALSE,175,18.2,0.692,0.279,0.628,0.043,0.081,0.062,0.13,0.021,0.032,0.084,0.142,0.6,0.2,0.8,0.209,1.6,0.7,2.3,0.2
Alex Len,lenal01,203458,Alex Len,2018,https://stats.nba.com/media/players/230x185/203458.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203458.png,2013,2018-19,lenal01_2019,C,25,ATL,67,FALSE,1310,16.5,0.566,0.278,0.349,0.109,0.193,0.15,0.081,0.8,0.04,0.126,0.21899999999999997,1.5,1,2.5,0.091,-0.9,-0.7,-1.6,0.1
