typeMeasure,isPlusMinus,isPaceAdjust,isRank,idPlayoffRound,idMonth,idTeamOpponent,idPeriod,countLastNGames,namePlayer,slugTeam,idPlayer,idTeam,gp,pctWins,pctAST,pctOREB,pctDREB,pctTREB,pctTOVTeam,pctEFG,pctTS,pctUSG,fgm,fga,fgmPerGame,fgaPerGame,pctFG,gpRank,pctWinsRank,minutesRank,pctASTRank,pctOREBRank,pctDREBRank,pctTREBRank,pctTOVTmRank,pctEFGRank,pctTSRank,pctUSGRank,fgmRank,fgaRank,fgmPerGameRank,fgaPerGameRank,pctFGRank,agePlayer,wins,losses,minutes,eOFF_RATING,ortg,sp_work_OFF_RATING,eDEF_RATING,drtg,sp_work_DEF_RATING,eNET_RATING,netrtg,sp_work_NET_RATING,ratioASTtoTO,ratioAST,ePACE,pace,sp_work_PACE,ratioPIE,winsRank,lossesRank,eOFF_RATING_RANK,ortgRank,sp_work_OFF_RATING_RANK,eDEF_RATING_RANK,drtgRank,sp_work_DEF_RATING_RANK,eNET_RATING_RANK,netrtgRank,sp_work_NET_RATING_RANK,ratioASTtoTORank,ratioASTRank,ePACE_RANK,paceRank,sp_work_PACE_RANK,pieRank
Advanced,FALSE,FALSE,FALSE,0,0,0,0,0,Aaron Gordon,ORL,203932,1610612753,67,0.463,0.165,0.047,0.167,0.106,10,0.5,0.533,0.216,403,909,6,13.6,0.443,76,295,33,158,161,130,150,274,293,304,117,50,48,60,53,239,23,31,36,33.6,105.9,105.4,105.4,104.8,104.7,104.7,1.1,0.7,0.7,1.75,17.5,99.8,100.06,100.06,0.11,139,444,270,253,253,145,168,168,193,195,195,200,207,437,452,452,127
Advanced,FALSE,FALSE,FALSE,0,0,0,0,0,Aaron Holiday,IND,1628988,1610612754,42,0.643,0.173,0.008,0.102,0.055,9.1,0.456,0.495,0.212,79,206,1.9,4.9,0.383,300,100,389,146,471,340,383,201,415,403,131,317,304,342,305,419,22,27,15,11.3,105.5,103.8,103.8,100.6,98.1,98.1,4.9,5.7,5.7,2.11,19.2,103.02,105.19,105.19,0.079,192,158,297,315,315,42,43,43,94,76,76,135,170,203,147,147,295
Advanced,FALSE,FALSE,FALSE,0,0,0,0,0,Abdel Nader,OKC,1627846,1610612760,52,0.635,0.042,0.016,0.137,0.075,9.8,0.511,0.541,0.143,79,182,1.5,3.5,0.434,239,109,383,472,395,219,269,263,252,278,380,317,316,377,375,271,25,33,19,11.7,97.5,95.7,95.7,107.8,105,105,-10.3,-9.3,-9.3,0.74,7.2,104.19,106.55,106.55,0.068,121,205,463,457,457,267,175,175,450,443,443,445,465,143,86,86,358
Advanced,FALSE,FALSE,FALSE,0,0,0,0,0,Al Horford,BOS,201143,1610612738,61,0.59,0.199,0.063,0.16,0.113,9.3,0.581,0.597,0.184,334,633,5.5,10.4,0.528,158,164,96,114,125,144,130,211,75,93,192,78,98,82,108,76,32,36,25,28.8,112.4,111.5,111.5,105.9,105.8,105.8,6.5,5.7,5.7,2.67,24.7,101.2,101.63,101.63,0.129,95,291,54,66,66,187,210,210,66,78,78,66,90,336,363,363,70
Advanced,FALSE,FALSE,FALSE,0,0,0,0,0,Al-Farouq Aminu,POR,202329,1610612757,70,0.614,0.057,0.048,0.2,0.126,8.7,0.526,0.576,0.127,218,497,3.1,7.1,0.439,20,138,98,430,156,72,102,163,216,151,438,159,153,206,202,251,28,43,27,28.7,114.8,115.4,115.4,107.7,108.3,108.3,7.1,7.1,7.1,1.48,12.9,102.6,102.04,102.04,0.095,25,310,22,18,18,260,316,316,59,57,57,262,319,234,324,324,203
Advanced,FALSE,FALSE,FALSE,0,0,0,0,0,Alan Williams,BKN,1626210,1610612751,4,0,0.2,0.133,0.394,0.27,6.3,0.6,0.595,0.21,6,10,1.5,2.5,0.6,472,501,467,109,12,4,2,61,55,96,136,455,466,379,435,34,26,0,4,5.5,110.8,113.7,113.7,95.3,88.5,88.5,15.5,25.3,25.3,3,18.8,110.37,112.96,112.96,0.265,501,61,93,34,34,23,18,18,16,11,11,39,180,10,15,15,5
Advanced,FALSE,FALSE,FALSE,0,0,0,0,0,Alec Burks,SAC,202692,1610612758,62,0.306,0.142,0.02,0.151,0.083,9,0.469,0.523,0.186,192,474,3.1,7.6,0.405,149,432,208,190,337,178,236,189,389,333,186,183,164,208,188,370,27,19,43,22,103,102.6,102.6,113.6,113.6,113.6,-10.5,-11,-11,1.94,17.4,100.01,100.26,100.26,0.091,281,489,377,355,355,468,475,475,451,457,457,169,210,422,442,442,227
Advanced,FALSE,FALSE,FALSE,0,0,0,0,0,Alex Abrines,OKC,203518,1610612760,31,0.677,0.047,0.007,0.067,0.036,7.1,0.487,0.507,0.119,56,157,1.8,5.1,0.357,359,73,259,461,475,466,483,83,344,374,466,350,332,348,293,446,25,21,10,19,101.3,100.5,100.5,99.4,99.1,99.1,2,1.3,1.3,1.43,10.2,104.62,105.18,105.18,0.041,260,106,427,409,409,36,49,49,168,182,182,274,407,120,149,149,457
Advanced,FALSE,FALSE,FALSE,0,0,0,0,0,Alex Caruso,LAL,1627936,1610612747,13,0.154,0.135,0.038,0.075,0.057,6.7,0.64,0.692,0.14,24,43,1.8,3.3,0.558,433,493,358,195,198,443,372,72,25,12,387,414,428,346,384,55,25,2,11,13.5,107.6,109.6,109.6,106.2,105.7,105.7,1.3,3.9,3.9,3.4,22.7,101.19,100.49,100.49,0.108,464,116,199,116,116,203,205,205,183,111,111,26,114,340,432,432,137
Advanced,FALSE,FALSE,FALSE,0,0,0,0,0,Alex Len,ATL,203458,1610612737,67,0.343,0.082,0.093,0.162,0.127,11.5,0.537,0.566,0.21,261,533,3.9,8,0.49,76,406,248,344,50,136,97,362,188,189,135,118,138,153,176,133,25,23,44,19.6,103.5,103,103,108.5,107.6,107.6,-5,-4.5,-4.5,0.78,8.9,107.7,108.41,108.41,0.099,244,492,369,346,346,304,288,288,355,344,344,440,436,23,44,44,180
